,local_AA,local_CA,global_AA,global_CA,blosum_dist
0,6.143,4.047,10.610,10.481,-22.18947501009619
0,4.095,2.140,4.591,2.710,-13.0
0,4.545,3.746,5.647,5.348,-7.0
0,7.145,5.025,13.947,13.047,-41.3594000115385
0,1.574,0.662,1.890,0.971,2.321928094887362
0,4.599,2.868,5.757,4.703,-11.0
0,5.604,3.555,7.637,5.843,-15.0
0,2.621,2.023,3.865,3.686,-30.0
0,3.874,1.983,4.156,2.332,-20.60451250937503
0,3.085,1.371,3.151,1.789,-11.0
0,5.078,2.824,8.933,6.241,-11.229419688230417
0,3.987,2.417,4.842,3.333,-28.07354922057604
0,4.087,2.416,4.531,2.834,0.0
0,3.920,1.562,4.988,1.785,-9.0
0,4.194,2.668,5.575,3.902,-15.0
0,3.593,2.352,4.746,3.839,-22.18947501009619
0,4.466,2.268,5.726,4.120,-20.89735285398626
0,4.125,1.948,7.423,6.687,2.0
0,5.231,3.731,6.231,5.322,-37.00439718141092
0,1.991,1.126,3.263,2.694,-16.0
0,1.253,0.313,1.312,0.412,0.0
0,1.565,0.819,1.810,1.209,-4.0
0,1.312,0.667,1.334,0.800,-12.0
0,1.492,0.798,1.682,1.114,-6.0
0,2.064,1.751,2.527,2.353,0.0
0,3.339,2.126,3.541,2.587,-10.0
0,3.268,1.778,3.773,2.474,-15.849625007211563
0,5.604,3.241,8.066,4.807,-28.07354922057604
0,4.207,2.467,6.573,5.154,-14.264662506490406
0,3.022,2.430,3.383,2.778,-8.0
0,4.637,3.585,5.502,4.895,-24.0
0,5.049,3.677,6.546,5.091,-43.18506523353572
0,2.429,1.761,3.969,3.361,-15.849625007211563
0,2.798,2.087,3.442,2.807,-11.094737505048094
0,0.891,0.190,0.920,0.399,20.756589711823786
0,5.359,2.143,6.723,3.420,-7.0
0,2.189,1.186,3.673,3.021,-5.0
0,2.328,1.369,2.923,2.305,3.0
0,4.272,2.026,5.668,3.275,-18.0
0,0.707,0.269,1.612,1.384,3.0
0,1.487,0.816,1.963,1.372,3.0
0,3.911,2.519,4.579,3.663,-4.0
0,2.412,1.745,2.988,2.645,-12.0
0,1.828,0.917,1.936,1.117,4.643856189774724
0,6.760,5.780,11.675,11.332,-12.0
0,3.906,2.365,4.634,3.516,-28.07354922057604
0,0.539,0.209,0.817,0.535,2.321928094887362
0,4.963,3.209,7.837,5.928,-22.18947501009619
0,3.347,1.964,3.732,2.501,-12.0
0,1.942,0.218,2.192,0.609,-2.0
0,4.090,2.848,6.160,4.479,-28.43458750793272
0,3.724,2.039,4.080,2.527,-20.60451250937503
0,0.955,0.167,1.035,0.642,16.0
0,1.810,0.839,2.741,1.827,-17.43458750793272
0,1.522,1.209,1.690,1.341,-1.0
0,7.086,4.929,14.329,13.456,-41.3594000115385
0,1.412,0.871,1.643,1.262,3.0
0,5.213,2.373,5.571,3.237,-17.43458750793272
0,4.707,2.393,6.623,4.063,-22.18947501009619
0,0.930,0.402,1.569,1.421,1.5849625007211563
0,0.909,0.176,0.968,0.382,20.756589711823786
0,3.087,1.592,3.806,2.873,-17.43458750793272
0,1.968,0.607,2.875,2.093,-7.0
0,2.200,0.839,3.444,1.844,-13.0
0,2.689,1.431,3.151,2.099,-7.924812503605781
0,4.671,2.945,6.673,5.125,-33.60451250937503
0,2.257,1.050,2.660,1.622,-6.0
0,3.765,2.681,8.235,8.532,-49.82892142331044
0,1.959,0.843,2.152,1.280,-11.0
0,4.832,3.041,6.310,4.899,-3.0
0,4.051,1.769,4.407,2.540,-39.302968908806456
0,2.308,1.415,3.543,3.147,-30.880904142633646
0,4.778,4.013,7.616,7.696,-19.019550008653876
0,9.138,7.888,16.089,16.049,-26.94436251225966
0,2.394,1.428,3.086,2.262,-14.0
0,3.274,1.266,4.470,1.822,-5.0
0,1.346,0.330,1.414,0.533,4.0
0,5.415,3.917,6.896,5.633,-20.0
0,5.137,2.703,5.653,3.659,-11.0
0,3.731,2.199,3.941,2.761,-18.0
0,4.477,2.696,6.690,4.426,-15.849625007211563
0,5.004,3.674,6.052,5.734,-9.0
0,4.438,3.152,4.842,4.049,-26.0
0,2.972,1.407,3.848,3.178,-13.0
0,1.967,1.198,2.183,1.572,-1.5849625007211563
0,4.892,2.960,5.077,3.348,-13.0
0,1.745,1.227,2.407,2.013,-9.0
0,3.911,2.619,6.397,4.382,-15.849625007211563
0,3.635,2.033,3.864,2.709,-20.60451250937503
0,4.472,2.698,7.679,5.361,-7.924812503605781
0,1.337,0.351,1.539,1.087,-27.863137138648348
0,7.814,6.593,10.257,9.536,-38.03910001730775
0,1.170,0.457,2.149,2.107,-14.339850002884626
0,2.631,2.455,3.170,3.507,2.0
0,4.148,2.781,6.870,5.634,-22.18947501009619
0,4.911,4.055,10.229,9.137,-39.302968908806456
0,3.655,1.748,6.183,5.856,-20.60451250937503
